rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
48,054450,텔레칩스,KOSDAQ,225649071700,기타,14900.0,23.0,0.0,12.0,0,10.0,45.0,14500.0,2.684563758389262,100.0,54.51445716302146,-,14790.0,13376.0,6,False,0,-2222278980.0,-766452070.0,0.0,12.0,12.0,0,0,,,0,2026-01-18 23:11,2
49,254490,미래반도체,KOSDAQ,231152380000,기타,16010.0,23.0,0.0,12.0,0,10.0,45.0,15750.0,1.6239850093691444,42.016806722689076,55.85149388249008,-,15792.5,15596.2,6,False,0,-106383170.0,-173871650.0,0.0,12.0,12.0,0,0,,,0,2026-01-18 23:11,2
50,092230,KPX홀딩스,KOSPI,302062189000,기타,71500.0,15.0,10.0,8.0,3,9.0,45.0,65780.0,8.0,74.78991596638656,51.319523123478,B,72975.0,72544.0,1,False,0,56534900.0,-159127400.0,10.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
51,285490,노바텍,KOSDAQ,239013780600,기타,22600.0,22.0,5.0,8.0,2,7.0,44.0,20600.0,8.849557522123893,43.69747899159664,23.229666376202292,C,21782.5,20927.0,0,False,1,-703082450.0,-913200.0,5.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
52,042370,비츠로테크,KOSDAQ,269074256750,기타,10270.0,24.0,15.0,0.0,0,5.0,44.0,9090.0,11.489776046738072,98.31932773109244,35.03757866129227,R,9447.0,8860.2,1,True,0,-3352916020.0,-210482560.0,15.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
53,080580,오킨스전자,KOSDAQ,219974818400,기타,10900.0,25.0,0.0,0.0,11,7.0,43.0,9960.0,8.623853211009175,39.49579831932773,44.067373390456616,-,10389.5,9567.6,1,False,5,3559530440.0,-513604680.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:12,2
54,078350,한양디지텍,KOSDAQ,381109550000,기타,25000.0,25.0,0.0,0.0,9,9.0,43.0,23000.0,8.0,37.81512605042017,48.87571132398984,-,22051.0,21791.6,0,False,1,567297700.0,1168184300.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:12,2
55,138610,나이벡,KOSDAQ,411411914000,기타,36200.0,11.0,5.0,10.0,8,9.0,43.0,33950.0,6.2154696132596685,29.41176470588235,38.125849103923564,-,38255.0,39811.0,4,False,3,1606670750.0,-2793838250.0,5.0,10.0,10.0,0,0,,,0,2026-01-18 23:11,2
56,104830,원익머트리얼즈,KOSDAQ,413542400000,기타,32800.0,25.0,5.0,0.0,3,10.0,43.0,31550.0,3.8109756097560976,21.008403361344538,43.23656073408927,-,32222.5,31879.0,0,False,0,176357550.0,-1021427950.0,5.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
57,029460,케이씨,KOSPI,369813800850,기타,27950.0,25.0,5.0,0.0,4,9.0,43.0,26350.0,5.724508050089446,28.571428571428573,49.27183782414041,-,26895.0,25942.0,0,False,0,-1767384050.0,2707729550.0,5.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
