rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
73,178320,서진시스템,KOSDAQ,1625912418900,기타,29100.0,26772.0,22.0,10.0,13.0,6,9.0,60.0,8.0,52.10084033613445,21.243784026758636,-,26260.0,25448.0,29215.875174508605,True,False,10.0,13.0,2,-3010237300.0,1122450650.0,2026-01-19 14:04,1,,0
74,005380,현대차,KOSPI,98283727680000,기타,480000.0,441600.0,25.0,5.0,16.0,4,9.0,59.0,8.0,100.0,65.1949715873691,B,338975.0,301450.0,390933.1164480797,False,False,5.0,16.0,0,-708243849500.0,34852226000.0,2026-01-19 14:04,1,,0
75,455900,엔젤로보틱스,KOSDAQ,555458934500,기타,36500.0,33580.0,23.0,0.0,20.0,7,9.0,59.0,8.0,53.78151260504202,29.873421326521996,-,31432.5,30436.0,34597.02580569604,False,False,0.0,20.0,0,11913677250.0,5416426850.0,2026-01-19 14:05,1,,0
76,298040,효성중공업,KOSPI,22005933280000,기타,2360000.0,2171200.0,21.0,20.0,3.0,6,9.0,59.0,8.0,2.5210084033613445,31.46418620648185,R,1938300.0,1984220.0,2326320.278420269,True,True,20.0,3.0,1,-34592424000.0,80577643000.0,2026-01-19 14:04,1,,0
77,005490,POSCO홀딩스,KOSPI,28124200820000,기타,347500.0,298000.0,24.0,10.0,10.0,9,5.0,58.0,14.244604316546763,6.722689075630252,31.897131770677056,-,315475.0,312990.0,337370.6320248914,False,True,10.0,10.0,1,103575782500.0,127662196000.0,2026-01-19 14:05,1,,0
78,083650,비에이치아이,KOSDAQ,1893795750000,기타,61200.0,52700.0,22.0,10.0,17.0,4,5.0,58.0,13.88888888888889,70.58823529411765,21.76578676813275,-,55355.0,50623.0,62353.22863020767,True,False,10.0,17.0,0,-17571170100.0,18063398500.0,2026-01-19 14:04,1,,0
79,253450,스튜디오드래곤,KOSDAQ GLOBAL,1381187983100,기타,45950.0,41800.0,23.0,10.0,12.0,6,7.0,58.0,9.031556039173013,71.42857142857143,51.77493351946799,-,43857.5,41114.0,46740.51508209796,True,False,10.0,12.0,2,-129244200.0,5970287250.0,2026-01-19 14:05,1,,0
80,180640,한진칼,KOSPI,8592305307300,기타,128700.0,113100.0,25.0,10.0,12.0,6,5.0,58.0,12.121212121212121,78.15126050420169,45.95458805706353,-,120125.0,111328.0,129633.0255800151,True,False,10.0,12.0,2,-1132375500.0,7816674600.0,2026-01-19 14:05,1,,0
81,241560,두산밥캣,KOSPI,5847219965000,기타,61000.0,56500.0,22.0,10.0,13.0,4,9.0,58.0,7.377049180327869,36.134453781512605,24.462615971215563,-,59305.0,58540.0,63871.846276063334,True,False,10.0,13.0,0,-1935223300.0,246344000.0,2026-01-19 14:04,1,,0
82,458870,씨어스테크놀로지,KOSDAQ,1603500408000,기타,126600.0,116472.0,20.0,10.0,12.0,6,9.0,57.0,8.0,0.0,19.512773816515182,-,120720.0,118952.0,149449.22353527384,False,True,10.0,12.0,1,-1023700800.0,4325523600.0,2026-01-19 14:05,1,,0
83,097230,HJ중공업,KOSPI,2365738012800,기타,26200.0,24104.0,24.0,10.0,7.0,7,9.0,57.0,8.0,9.243697478991596,35.13434799990862,-,23560.0,22601.0,29197.89403009094,False,True,10.0,7.0,0,987629050.0,1532801300.0,2026-01-19 14:05,1,,0
84,047920,HLB제약,KOSDAQ,556277077760,기타,16960.0,16090.0,22.0,10.0,11.0,4,9.0,56.0,5.129716981132075,11.764705882352942,39.386296651001665,-,16301.0,16035.2,18008.07710802172,False,True,10.0,11.0,0,-2131077480.0,37283380.0,2026-01-19 14:05,1,,0
