rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,memory_price,vol_ratio,tags,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,keywords,news_count,scan_date,chunk
68,030200,KT,KOSPI,13508362316000,기타,53600.0,18.0,20.0,5.0,9,10.0,62.0,51500.0,3.9179104477611943,64.40677966101696,12.398609375816607,-,52770.0,51600.0,54654.96311323075,54200.0,1.27,🚪Door 🧠Memory 🚀Pivot,0,False,1,2840597500.0,13068552000.0,20.0,5.0,,0,2026-01-19 08:20,1
69,263750,펄어비스,KOSDAQ GLOBAL,2598825734750,기타,40450.0,25.0,20.0,5.0,3,9.0,62.0,37400.0,7.5401730531520395,40.67796610169491,59.94800528157773,-,38110.0,37765.0,40521.29322961462,38900.0,0.94,🚪Door 🧠Memory 🔥Past,0,False,0,1720401000.0,-330189950.0,20.0,5.0,,0,2026-01-19 08:20,1
70,005290,동진쎄미켐,KOSDAQ,2028301788300,기타,39450.0,25.0,20.0,5.0,2,10.0,62.0,39050.0,1.0139416983523446,0.0,44.49647999435103,-,39137.5,37310.0,43985.0227919786,40150.0,0.69,🧘Squeeze 🧠Memory 🔥Past,0,False,1,-4843079450.0,-553341800.0,20.0,5.0,,0,2026-01-19 08:20,1
71,001060,JW중외제약,KOSPI,636870185500,기타,27350.0,22.0,10.0,13.0,8,9.0,62.0,25600.0,6.39853747714808,35.59322033898305,24.149179134845955,-,27117.5,26402.0,28955.386422272913,28200.0,2.62,🧠Memory 🔥Past 🚀Pivot+,0,False,3,3926262950.0,-2289254600.0,10.0,13.0,,0,2026-01-19 08:20,1
72,039490,키움증권,KOSPI,8688769623000,기타,321500.0,25.0,20.0,0.0,7,9.0,61.0,297000.0,7.620528771384137,11.864406779661017,47.669099549162375,-,306900.0,291890.0,324451.85226855957,294500.0,0.9,🚪Door 🧘Squeeze,0,False,0,1522556500.0,3360478000.0,20.0,0.0,,0,2026-01-19 08:20,1
73,103590,일진전기,KOSPI,2980336875000,기타,62500.0,24.0,20.0,5.0,2,9.0,60.0,59000.0,5.6000000000000005,1.694915254237288,39.84100445026689,-,58840.0,57486.0,65768.06803812509,50900.0,0.81,🚪Door 🧘Squeeze 🔥Past,2,False,1,-1239257500.0,-3810300500.0,20.0,5.0,,0,2026-01-19 08:20,1
74,064760,티씨케이,KOSDAQ GLOBAL,1944100442400,기타,173900.0,24.0,20.0,5.0,6,5.0,60.0,148600.0,14.548591144335827,0.0,39.63470492137441,-,153795.0,152262.0,175923.8344597368,161800.0,1.31,🚪Door 🧘Squeeze 🚀Pivot,0,False,1,-2403345200.0,3414136400.0,20.0,5.0,,0,2026-01-19 08:20,1
75,489790,한화비전,KOSPI,2741519577000,기타,54300.0,23.0,20.0,5.0,7,5.0,60.0,46300.0,14.732965009208105,62.71186440677966,72.32539396502818,-,46380.0,44773.0,55588.160676735206,52200.0,0.57,🚪Door 🧠Memory 🔥Past,0,False,0,3798295100.0,26361005300.0,20.0,5.0,,0,2026-01-19 08:20,1
76,033780,KT&G,KOSPI,17083018196000,기타,144800.0,22.0,20.0,5.0,3,10.0,60.0,140300.0,3.1077348066298343,44.067796610169495,21.234075633126277,-,143485.0,142848.0,148822.1485597387,150000.0,1.35,🚪Door 🧠Memory 🚀Pivot,0,False,0,9889268100.0,-25028889100.0,20.0,5.0,,0,2026-01-19 08:20,1
77,028300,HLB,KOSDAQ,6847281145200,기타,51600.0,25.0,20.0,5.0,0,10.0,60.0,49600.0,3.875968992248062,0.0,47.68809343777772,-,50577.5,49035.0,54460.11947752771,53600.0,0.8,🧘Squeeze 🧠Memory 🔥Past,0,False,0,-2823344300.0,-7528733800.0,20.0,5.0,,0,2026-01-19 08:20,1
