rank,code,name,market,mktcap,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,foreign_consec_buy,foreign_net_5d,inst_net_5d,keywords,news_count,scan_date,chunk
42,240810,원익IPS,KOSDAQ GLOBAL,3764735206700,76700.0,25.0,5.0,0.0,4,9.0,43.0,71800.0,6.388526727509778,10.084033613445378,57.65009631352253,-,70975.0,66384.0,0,False,5.0,0.0,0.0,0,0,,0,-282065.0,348736.0,,0,2026-01-18 05:45,1
46,58470,리노공업,KOSDAQ GLOBAL,4930906695000,64700.0,25.0,5.0,0.0,4,9.0,43.0,61400.0,5.1004636785162285,26.050420168067227,40.37113194665708,-,62690.0,61580.0,0,False,5.0,0.0,0.0,0,0,,0,-140361.0,196110.0,,0,2026-01-18 05:45,1
49,189300,인텔리안테크,KOSDAQ,739526712600,68900.0,25.0,0.0,0.0,7,10.0,42.0,66300.0,3.7735849056603774,100.0,83.7910796696872,-,63862.5,51351.0,1,False,0.0,0.0,0.0,0,0,,0,96659.0,44272.0,,0,2026-01-18 05:45,1
48,267260,HD현대일렉트릭,KOSPI,32658704310000,906000.0,23.0,5.0,0.0,9,5.0,42.0,790000.0,12.803532008830022,8.403361344537815,29.889296861680243,-,832900.0,825160.0,0,False,5.0,0.0,0.0,0,0,,1,17752.0,2160.0,,0,2026-01-18 05:46,1
47,6260,LS,KOSPI,7037400000000,222000.0,25.0,0.0,0.0,12,5.0,42.0,198300.0,10.675675675675675,45.37815126050421,71.75770839042421,-,202485.0,196028.0,1,False,0.0,0.0,0.0,0,0,,3,104242.0,39073.0,,0,2026-01-18 05:46,1
50,60280,큐렉소,KOSDAQ,566220062200,13780.0,20.0,0.0,8.0,9,5.0,42.0,12170.0,11.683599419448475,63.02521008403362,15.322838028414436,-,13080.0,12340.4,1,False,0.0,8.0,8.0,0,0,,2,333798.0,86494.0,,0,2026-01-18 05:46,1
51,140410,메지온,KOSDAQ,2702388346000,89000.0,20.0,0.0,12.0,0,10.0,42.0,85300.0,4.157303370786517,60.50420168067227,46.50975002635808,-,91080.0,80630.0,8,False,0.0,12.0,12.0,0,0,,0,-83109.0,-20412.0,,0,2026-01-18 05:45,1
53,11070,LG이노텍,KOSPI,6768792602000,286000.0,25.0,0.0,0.0,11,5.0,41.0,253000.0,11.538461538461538,48.739495798319325,44.59550920709237,-,275925.0,264550.0,0,False,0.0,0.0,0.0,0,0,,5,160848.0,-44996.0,,0,2026-01-18 05:46,1
52,6730,서부T&D,KOSDAQ,892095922020,13740.0,24.0,0.0,5.0,7,5.0,41.0,11790.0,14.192139737991264,77.3109243697479,30.700753648482014,-,12765.5,11775.4,3,False,0.0,5.0,5.0,0,0,,0,383346.0,827867.0,,0,2026-01-18 05:46,1
54,218410,RFHIC,KOSDAQ,930270814200,35100.0,20.0,0.0,0.0,11,10.0,41.0,34200.0,2.564102564102564,74.78991596638656,63.67049252631746,-,35110.0,32146.0,0,False,0.0,0.0,0.0,0,0,,5,260126.0,-255390.0,,0,2026-01-18 05:46,1
59,357780,솔브레인,KOSDAQ GLOBAL,2271341272000,292000.0,24.0,5.0,0.0,4,7.0,40.0,268500.0,8.047945205479452,5.882352941176471,36.85842471703915,-,272800.0,267120.0,0,False,5.0,0.0,0.0,0,0,,0,-6955.0,13087.0,,0,2026-01-18 05:45,1
57,64760,티씨케이,KOSDAQ GLOBAL,1888203362400,168900.0,24.0,5.0,0.0,6,5.0,40.0,148600.0,12.01894612196566,21.008403361344534,36.53051886255165,-,152400.0,151952.0,0,False,5.0,0.0,0.0,0,0,,1,-14598.0,20937.0,,0,2026-01-18 05:46,1
60,68270,셀트리온,KOSPI,48270842521000,209000.0,25.0,0.0,0.0,5,10.0,40.0,200500.0,4.066985645933015,89.07563025210084,44.89511865292031,-,198765.0,190006.0,0,False,0.0,0.0,0.0,0,0,,2,295248.0,-94018.0,,0,2026-01-18 05:45,1
55,103590,일진전기,KOSPI,2975568336000,62400.0,24.0,5.0,0.0,2,9.0,40.0,57800.0,7.371794871794872,25.210084033613445,36.72865771516566,-,58490.0,57468.0,2,False,5.0,0.0,0.0,0,0,,1,-20074.0,-61915.0,,0,2026-01-18 05:45,1
56,12510,더존비즈온,KOSPI,2792177849600,91900.0,22.0,5.0,0.0,3,10.0,40.0,89700.0,2.3939064200217626,19.327731092436974,41.40006693270933,-,88770.0,90530.0,0,False,5.0,0.0,0.0,0,0,,0,91438.0,-15887.0,,0,2026-01-18 05:45,1
58,39030,이오테크닉스,KOSDAQ GLOBAL,3695865000000,300000.0,25.0,0.0,0.0,5,10.0,40.0,295000.0,1.6666666666666667,48.739495798319325,54.20018351640257,-,285500.0,276270.0,0,False,0.0,0.0,0.0,0,0,,1,21898.0,-1265.0,,0,2026-01-18 05:45,1
61,6280,녹십자,KOSPI,1873352041400,160300.0,17.0,0.0,8.0,4,10.0,39.0,152300.0,4.990642545227699,100.0,22.92169873950664,-,160635.0,147004.0,1,False,0.0,8.0,8.0,0,0,,0,-90657.0,78964.0,,0,2026-01-18 05:45,1
67,389470,인벤티지랩,KOSDAQ,1006403920600,80600.0,15.0,0.0,12.0,3,9.0,39.0,75500.0,6.327543424317618,77.3109243697479,11.285447354469389,-,82430.0,75806.0,9,False,0.0,12.0,12.0,0,0,,0,50802.0,-31325.0,,0,2026-01-18 05:45,1
68,126340,비나텍,KOSDAQ,579772258800,86100.0,24.0,0.0,0.0,6,9.0,39.0,80400.0,6.620209059233449,71.42857142857143,35.932829452071545,-,78545.95,67704.18,0,False,0.0,0.0,0.0,0,0,,1,-19303.0,116745.0,,0,2026-01-18 05:46,1
69,36930,주성엔지니어링,KOSDAQ GLOBAL,1510222855950,31950.0,23.0,0.0,0.0,6,10.0,39.0,30500.0,4.538341158059469,89.91596638655462,58.55968474627826,-,30245.0,29391.0,0,False,0.0,0.0,0.0,0,0,,1,-258609.0,83324.0,,0,2026-01-18 05:46,1
70,108490,로보티즈,KOSDAQ,3751797660000,257500.0,18.0,5.0,5.0,4,7.0,39.0,233500.0,9.320388349514564,6.722689075630252,29.342277525241965,-,261650.0,249496.0,3,False,5.0,5.0,5.0,0,0,,0,-96409.0,148312.0,,0,2026-01-18 05:45,1
71,55550,신한지주,KOSPI,38451198772800,79200.0,20.0,5.0,0.0,4,10.0,39.0,76600.0,3.2828282828282838,0.0,26.58932621654594,-,78000.0,78118.0,0,False,5.0,0.0,0.0,0,0,,0,-404778.0,630081.0,,0,2026-01-18 05:45,1
72,39200,오스코텍,KOSDAQ,1681446835200,43950.0,12.0,0.0,12.0,5,10.0,39.0,42250.0,3.8680318543799777,65.54621848739495,44.93657269441604,-,45707.5,51165.0,5,False,0.0,12.0,12.0,0,0,,2,258738.0,-125493.0,,0,2026-01-18 05:46,1
65,36570,엔씨소프트,KOSPI,5095161203000,236500.0,25.0,0.0,0.0,9,5.0,39.0,210000.0,11.20507399577167,78.99159663865547,55.76021690058783,-,215635.0,212774.0,0,False,0.0,0.0,0.0,0,0,,2,103076.0,168329.0,,0,2026-01-18 05:46,1
66,457190,이수스페셜티케미컬,KOSPI,1818538456000,60200.0,23.0,0.0,0.0,7,9.0,39.0,56500.0,6.146179401993355,57.98319327731093,25.418435806202268,-,58475.0,56275.0,2,False,0.0,0.0,0.0,0,0,,0,32091.0,11930.0,,0,2026-01-18 05:46,1
63,28300,HLB,KOSDAQ,6979980392200,52600.0,25.0,5.0,0.0,0,9.0,39.0,49600.0,5.70342205323194,13.445378151260504,49.32026673025074,-,50320.0,49091.0,0,False,5.0,0.0,0.0,0,0,,0,-63887.0,-144635.0,,0,2026-01-18 05:45,1
64,226950,올릭스,KOSDAQ,2780146889100,137700.0,17.0,5.0,10.0,0,7.0,39.0,124500.0,9.586056644880172,10.084033613445378,21.634711154410983,-,140095.0,134112.0,3,False,5.0,10.0,10.0,0,0,,0,-262319.0,-121788.0,,0,2026-01-18 05:45,1
6,33530,SJG세종,KOSPI,282104544540,10140.0,23.0,5.0,0.0,4,7.0,39.0,9160.0,9.664694280078894,23.529411764705884,28.6342531709983,-,10047.0,9344.8,2,False,5.0,0.0,0.0,0,0,,0,-34932.0,9214.0,,0,2026-01-18 05:41,2
62,145020,휴젤,KOSDAQ GLOBAL,2977575986000,242000.0,13.0,5.0,8.0,6,7.0,39.0,219000.0,9.50413223140496,26.89075630252101,18.142756679195337,-,233050.0,228740.0,0,False,5.0,8.0,8.0,0,0,,1,-54743.0,33439.0,,0,2026-01-18 05:46,1
75,445680,큐리옥스바이오시스템즈,KOSDAQ,1831822131000,107000.0,24.0,0.0,5.0,4,5.0,38.0,92400.0,13.644859813084112,49.57983193277311,39.54621417587182,-,105935.0,92860.0,3,False,0.0,5.0,5.0,0,0,,0,-79697.0,1664.0,,0,2026-01-18 05:46,1
76,1440,대한전선,KOSPI,4801017975000,25750.0,25.0,0.0,0.0,4,9.0,38.0,23850.0,7.378640776699028,41.1764705882353,40.25041967715489,-,24482.5,23936.0,1,False,0.0,0.0,0.0,0,0,,0,-1800995.0,263761.0,,0,2026-01-18 05:46,1
73,319660,피에스케이,KOSDAQ GLOBAL,1206463638100,41650.0,25.0,0.0,0.0,3,10.0,38.0,40450.0,2.881152460984394,57.142857142857146,67.29805023707411,-,38712.5,35280.0,0,False,0.0,0.0,0.0,0,0,,0,276709.0,-253345.0,,0,2026-01-18 05:45,1
74,1040,CJ,KOSPI,5461934025600,187200.0,21.0,5.0,0.0,5,7.0,38.0,170300.0,9.027777777777777,9.243697478991596,39.03505394251109,-,176295.0,176996.0,0,False,5.0,0.0,0.0,0,0,,1,121136.0,-26976.0,,0,2026-01-18 05:46,1
77,475960,토모큐브,KOSDAQ,605474628300,45450.0,15.0,0.0,5.0,8,10.0,38.0,44150.0,2.8602860286028604,36.134453781512605,48.740164981710464,-,48982.5,47693.0,4,False,0.0,5.0,5.0,0,0,,3,24520.0,-36349.0,,0,2026-01-18 05:46,1
78,35420,NAVER,KOSPI,38507322629000,245500.0,11.0,5.0,8.0,3,10.0,37.0,243500.0,0.8146639511201629,5.042016806722689,38.27882576908526,-,245550.0,249890.0,0,False,5.0,8.0,8.0,0,0,,0,331119.0,-145927.0,,0,2026-01-18 05:46,1
80,5290,동진쎄미켐,KOSDAQ,2061721209400,40100.0,25.0,0.0,0.0,2,10.0,37.0,39300.0,1.99501246882793,36.134453781512605,42.50216711768521,-,39037.5,37303.0,0,False,0.0,0.0,0.0,0,0,,1,-120091.0,-14321.0,,0,2026-01-18 05:45,1
79,36810,에프에스티,KOSDAQ,672962066200,30650.0,19.0,5.0,0.0,4,9.0,37.0,28700.0,6.36215334420881,28.571428571428573,33.42894240346311,-,31333.35,30390.44,2,False,5.0,0.0,0.0,0,0,,0,-145977.0,27412.0,,0,2026-01-18 05:46,1
7,200710,에이디테크놀로지,KOSDAQ,432794468400,32200.0,24.0,0.0,0.0,4,9.0,37.0,30250.0,6.055900621118012,76.47058823529412,37.92687221566455,-,31065.0,27824.0,2,False,0.0,0.0,0.0,0,0,,0,-476596.0,7165.0,,0,2026-01-18 05:41,2
81,4020,현대제철,KOSPI,4116802467250,30850.0,19.0,5.0,0.0,4,9.0,37.0,28700.0,6.9692058346839545,0.0,20.70441111187754,-,30600.0,30768.0,0,False,5.0,0.0,0.0,0,0,,0,-98546.0,202326.0,,0,2026-01-18 05:46,1
8,650,천일고속,KOSPI,410186140000,287000.0,15.0,0.0,12.0,5,5.0,37.0,248000.0,13.588850174216027,73.10924369747899,11.532659056988235,-,325475.0,248937.0,8,False,0.0,12.0,12.0,0,0,,1,1180.0,-89.0,,0,2026-01-18 05:41,2
82,220100,퓨쳐켐,KOSDAQ,553957274000,24700.0,11.0,0.0,12.0,3,10.0,36.0,23550.0,4.65587044534413,68.90756302521008,34.366929454729345,-,28715.0,29039.0,6,False,0.0,12.0,12.0,0,0,,0,261365.0,-137773.0,,0,2026-01-18 05:46,1
83,84370,유진테크,KOSDAQ,1879115444000,82000.0,16.0,5.0,0.0,5,10.0,36.0,80700.0,1.5853658536585369,12.605042016806722,35.19836831005983,-,80565.0,82864.0,1,False,5.0,0.0,0.0,0,0,,1,29688.0,-112979.0,,0,2026-01-18 05:46,1
84,232140,와이씨,KOSDAQ,1233962064000,15040.0,24.0,0.0,0.0,2,10.0,36.0,14740.0,1.9946808510638296,55.46218487394958,39.71617504332017,-,14889.0,14089.0,2,False,0.0,0.0,0.0,0,0,,1,-242774.0,-85376.0,,0,2026-01-18 05:46,1
85,64350,현대로템,KOSPI,23465592995000,215000.0,25.0,0.0,0.0,4,7.0,36.0,195000.0,9.30232558139535,83.19327731092437,49.99304986756366,-,199290.0,192128.0,0,False,0.0,0.0,0.0,0,0,,0,-18630.0,159296.0,,0,2026-01-18 05:46,1
86,10060,OCI홀딩스,KOSPI,2122805378400,113700.0,22.0,5.0,0.0,4,5.0,36.0,100300.0,11.785400175901495,15.966386554621849,20.81769481339212,-,111110.0,108350.0,0,False,5.0,0.0,0.0,0,0,,0,-66333.0,168165.0,,0,2026-01-18 05:46,1
9,368770,파이버프로,KOSDAQ,427104925000,13000.0,25.0,0.0,0.0,2,9.0,36.0,12200.0,6.153846153846154,98.31932773109244,62.68936291680383,-,12245.0,8983.8,1,False,0.0,0.0,0.0,0,0,,1,-174784.0,-199817.0,,0,2026-01-18 05:41,2
87,17800,현대엘리베이터,KOSPI,3475313026500,88900.0,23.0,0.0,0.0,2,10.0,35.0,85700.0,3.59955005624297,89.91596638655462,28.283187635649305,-,88335.0,85620.0,2,False,0.0,0.0,0.0,0,0,,1,-61883.0,-28867.0,,0,2026-01-18 05:46,1
89,810,삼성화재,KOSPI,22384426907500,486500.0,12.0,0.0,8.0,5,10.0,35.0,466000.0,4.213771839671121,64.70588235294117,41.65526426801524,-,487125.0,491270.0,0,False,0.0,8.0,8.0,0,0,,1,69518.0,-10486.0,,0,2026-01-18 05:46,1
88,95610,테스,KOSDAQ,1002249058200,50700.0,25.0,0.0,0.0,0,10.0,35.0,48900.0,3.5502958579881656,57.98319327731093,64.90909932884233,-,47977.5,43623.0,0,False,0.0,0.0,0.0,0,0,,0,-132216.0,-166936.0,,0,2026-01-18 05:45,1
90,62040,산일전기,KOSPI,4368886200000,143500.0,21.0,5.0,0.0,2,7.0,35.0,131800.0,8.153310104529616,0.0,33.0925662604309,-,137125.0,141638.0,0,False,5.0,0.0,0.0,0,0,,1,-69916.0,-7363.0,,0,2026-01-18 05:46,1
91,9540,HD한국조선해양,KOSPI,31034011366000,438500.0,20.0,5.0,0.0,5,5.0,35.0,385000.0,12.200684150513112,10.92436974789916,25.0758536100605,-,422775.0,425670.0,0,False,5.0,0.0,0.0,0,0,,2,67882.0,-35261.0,,0,2026-01-18 05:46,1
