rank,code,name,market,close,trend_score,trigger_score,liq_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
105,336570,원텍,KOSDAQ,8090.0,35.0,5.0,12.0,52.0,7790.0,3.708281829419036,0.0,33.14230193537636,-,7815.0,7733.0,5.0,0,0,,"원텍, cb, 하향, 유니콘, 클래시스, 파마리서치",10,2026-01-17 23:28,1
106,100090,SK오션플랜트,KOSPI,20150.0,35.0,5.0,12.0,52.0,19300.0,4.218362282878412,20.16806722689076,32.33801304711343,-,20254.0,19588.0,5.0,0,0,,"quot, sk오션플랜트, msra, 있다, 해양플랜트, 현재",10,2026-01-17 23:25,1
107,4020,현대제철,KOSPI,30850.0,37.0,5.0,10.0,52.0,28700.0,6.9692058346839545,0.0,20.70441111187754,-,30600.0,30768.0,5.0,0,0,,"quot, 철강, 현대제철, 전망, 가격, 매수",10,2026-01-17 23:21,1
108,115180,큐리언트,KOSDAQ,29450.0,40.0,0.0,12.0,52.0,26600.0,9.67741935483871,42.85714285714285,20.92365736788244,-,29157.5,27940.0,0.0,0,0,,"큐리언트, 28, 지난, 16일, 있으며, quot",10,2026-01-17 23:26,1
109,214370,케어젠,KOSDAQ,73700.0,37.0,5.0,10.0,52.0,65200.0,11.533242876526458,0.0,24.030623414098557,-,68925.0,69964.0,5.0,0,0,,"케어젠, quot, 10, 상승, 다시, 삼천당제약",10,2026-01-17 23:21,1
113,60280,큐렉소,KOSDAQ,13780.0,35.0,0.0,16.0,51.0,12170.0,11.683599419448475,63.02521008403362,15.322838028414436,-,13080.0,12340.4,0.0,0,0,,"베트남, 인공관절, 큐렉소, 수술로봇, 인공관절 수술로봇, 큐비스",10,2026-01-17 23:29,1
112,475960,토모큐브,KOSDAQ,45450.0,30.0,5.0,16.0,51.0,44150.0,2.8602860286028604,36.134453781512605,48.740164981710464,-,48982.5,47693.0,5.0,0,0,,"토모큐브, quot, 바이오, 오가노이드, 종목, 1분기",10,2026-01-17 23:29,1
111,7660,이수페타시스,KOSPI,120800.0,30.0,5.0,16.0,51.0,106900.0,11.506622516556291,26.89075630252101,25.24449862803446,-,117975.0,125108.0,5.0,0,0,,"16일, 이수페타시스, 지난, 지난 종가, 종가, 122",10,2026-01-17 23:19,1
110,460930,현대힘스,KOSDAQ,19450.0,32.0,5.0,14.0,51.0,17540.0,9.820051413881748,22.689075630252105,30.65228481693564,-,18629.5,18813.2,5.0,0,0,,"힘스, 의료ai, 현대힘스, 있다, 외국인, 코스닥",10,2026-01-17 23:28,1
114,3490,대한항공,KOSPI,24300.0,33.0,5.0,12.0,50.0,21600.0,11.11111111111111,15.966386554621849,13.997896134944694,-,22572.5,22190.0,5.0,0,0,,"wtt, 탁구, 우승을, 신유빈, 대한항공, 우승",10,2026-01-17 23:19,1
116,281820,케이씨텍,KOSPI,40300.0,33.0,5.0,12.0,50.0,39750.0,1.3647642679900744,28.571428571428573,26.625337618308446,-,40335.0,39891.0,5.0,0,0,,"반도체, 케이씨텍, 관련주, 등은, 장비, 피에스케이홀딩스",10,2026-01-17 23:27,1
117,5940,NH투자증권,KOSPI,22650.0,35.0,5.0,10.0,50.0,20750.0,8.388520971302428,4.201680672268908,19.95574557874765,-,21295.0,21131.6,5.0,0,0,,"quot, 코스피, 있다, nh투자증권, 연구원은, nh투자증권 연구원은",10,2026-01-17 23:19,1
115,86790,하나금융지주,KOSPI,96400.0,35.0,5.0,10.0,50.0,91700.0,4.875518672199171,0.0,7.385537904868863,-,93970.0,93424.0,5.0,0,0,,"스테이블코인, 하나금융지주, sc제일은행, 컨소시엄은, 하나증권, 원화",10,2026-01-17 23:18,1
118,71970,HD현대마린엔진,KOSPI,90100.0,30.0,5.0,14.0,49.0,82500.0,8.435072142064373,39.49579831932773,24.91849559768412,-,91550.0,86234.0,5.0,0,0,,"포인트, 기관, 128, hd현대마린엔진, 외국인, 매출액",10,2026-01-17 23:21,1
119,94170,동운아나텍,KOSDAQ,27000.0,33.0,0.0,16.0,49.0,25300.0,6.296296296296296,77.3109243697479,25.510597351468096,-,29040.0,26680.6,0.0,0,0,,"동운아나텍, 고영, 네패스아크, 네패스, 관련주, 반도체",10,2026-01-17 23:29,1
120,30200,KT,KOSPI,53900.0,33.0,5.0,10.0,48.0,51400.0,4.638218923933209,31.09243697478992,13.53440616028382,-,52785.0,51497.0,5.0,0,0,,"마법의, kt위즈의, kt, 선곡, 으로, 마법의 으로",10,2026-01-17 23:19,1
121,89010,켐트로닉스,KOSDAQ,31450.0,32.0,0.0,16.0,48.0,29650.0,5.723370429252783,47.05882352941177,17.378867888650383,-,30497.5,31047.0,0.0,0,0,,"켐트로닉스, 31, 다산디엠씨, 삼성전자, 디와이, 포니링크",10,2026-01-17 23:30,1
124,372320,큐로셀,KOSDAQ,46750.0,33.0,0.0,14.0,47.0,45350.0,2.9946524064171123,96.63865546218489,27.504508376619693,-,47692.5,44388.0,0.0,0,0,,"큐로셀, car, 국산, 림카토, 신약, 치료제",10,2026-01-17 23:28,1
125,150,두산,KOSPI,828000.0,30.0,5.0,12.0,47.0,735000.0,11.231884057971014,34.45378151260504,27.707194739737105,-,790600.0,857080.0,5.0,0,0,,"quot, 외국인 주간, 외국인, 주간, 코스피, 상위",10,2026-01-17 23:19,1
127,11170,롯데케미칼,KOSPI,74300.0,37.0,0.0,10.0,47.0,66500.0,10.497981157469717,40.33613445378151,23.065472235544213,-,71465.0,74012.0,0.0,0,0,,"quot, 부문, 이어, 따른, 중국발 공급, 중국발",10,2026-01-17 23:21,1
123,34230,파라다이스,KOSPI,16780.0,30.0,5.0,12.0,47.0,15360.0,8.462455303933254,2.5210084033613445,28.27317107003537,-,16492.5,16814.2,5.0,0,0,,"lt, gt, gt lt, quot, 제65차, 안영석",10,2026-01-17 23:24,1
122,139480,이마트,KOSPI,83500.0,35.0,0.0,12.0,47.0,79400.0,4.910179640718563,42.01680672268908,31.128321926314246,-,83600.0,81328.0,0.0,0,0,,"홈플러스, 이마트, 1월, 롯데마트, 이마트는, 딸기",10,2026-01-17 23:22,1
126,348210,넥스틴,KOSDAQ GLOBAL,71200.0,35.0,0.0,12.0,47.0,67700.0,4.915730337078652,43.69747899159664,19.851383734318865,-,70615.0,67924.0,0.0,0,0,,"넥스틴, 반도체, 주성엔지니어링, 01, 2026 01, 2026",10,2026-01-17 23:28,1
128,375500,DL이앤씨,KOSPI,42900.0,31.0,5.0,10.0,46.0,39350.0,8.275058275058274,28.571428571428573,25.378212149849155,-,41457.5,41002.0,5.0,0,0,,"quot, dl이앤씨, 통해, 실적, 있다, gs건설",10,2026-01-17 23:24,1
129,323280,태성,KOSDAQ,39250.0,30.0,0.0,16.0,46.0,36350.0,7.388535031847134,76.47058823529412,48.97255067878327,-,43750.0,42699.0,0.0,0,0,,"스님, 동화사, 39, 태성, 덕유, 16일",10,2026-01-17 23:25,1
130,86520,에코프로,KOSDAQ GLOBAL,92600.0,30.0,0.0,16.0,46.0,87000.0,6.047516198704104,48.739495798319325,51.65538322621969,-,94595.0,93868.0,0.0,0,0,,"상승, 에코프로, 19억, 코스닥, 알테오젠, 에코프로비엠",10,2026-01-17 23:19,1
131,140860,파크시스템스,KOSDAQ GLOBAL,240000.0,28.0,5.0,12.0,45.0,214500.0,10.625,17.647058823529413,28.828056978137727,-,221500.0,226640.0,5.0,0,0,,"반도체, 파크시스템스, 기관, 코스닥, hpsp, 장비",10,2026-01-17 23:24,1
132,64260,다날,KOSDAQ,6850.0,20.0,5.0,20.0,45.0,6780.0,1.0218978102189782,0.0,20.249906615966683,-,7158.5,7005.4,5.0,0,0,,"quot, 다날, 스트로베리, 16일, 1월, 1월 16일",10,2026-01-17 23:30,1
133,68760,셀트리온제약,KOSDAQ,61800.0,30.0,5.0,10.0,45.0,60900.0,1.4563106796116505,30.252100840336134,20.02397597919035,-,61918.5,61446.0,5.0,0,0,,"셀트리온제약, 있다, 저용량, 대비, 전거래일, 전거래일 대비",10,2026-01-17 23:22,1
134,95340,ISC,KOSDAQ GLOBAL,105300.0,33.0,0.0,12.0,45.0,103200.0,1.9943019943019944,80.67226890756302,29.07174867836767,-,107965.0,100334.0,0.0,0,0,,"isc, 외국인, 반도체, 코스닥, 원익ips, 휴림로봇",10,2026-01-17 23:23,1
135,5070,코스모신소재,KOSPI,43450.0,27.0,5.0,12.0,44.0,41050.0,5.523590333716916,36.134453781512605,45.89167791227551,-,44810.0,48491.0,5.0,0,0,,"코스모신소재, 전환사채, cb, 1200억, 1200억원, 글로벌",10,2026-01-17 23:24,1
136,128940,한미약품,KOSPI,436500.0,27.0,5.0,12.0,44.0,420000.0,3.7800687285223367,36.97478991596638,45.35672106898743,-,447975.0,448140.0,5.0,0,0,,"한미약품, 김홍식, 기자, 약업신문 김홍식, 약업신문, 김홍식 기자",10,2026-01-17 23:20,1
137,373220,LG에너지솔루션,KOSPI,391000.0,34.0,0.0,10.0,44.0,358500.0,8.312020460358056,40.33613445378151,38.0418640212431,-,381425.0,417500.0,0.0,0,0,,"조지아주, 배터리, 지난해, 공장, 합작, lg에너지솔루션",10,2026-01-17 23:17,1
138,4990,롯데지주,KOSPI,27850.0,34.0,0.0,10.0,44.0,24950.0,10.412926391382406,56.30252100840336,37.184233912551456,-,26962.5,28425.0,0.0,0,0,,"quot, 롯데지주, 신유열, 신동빈, 있다, amp",10,2026-01-17 23:22,1
141,89970,브이엠,KOSDAQ,26700.0,20.0,5.0,18.0,43.0,26100.0,2.247191011235955,31.09243697478992,20.181429152332395,-,28780.0,26958.0,5.0,0,0,,"브이엠, 반도체, 규모, sk하이닉스와, 계약, 제조장비",10,2026-01-17 23:28,1
142,389470,인벤티지랩,KOSDAQ,80600.0,25.0,0.0,18.0,43.0,75500.0,6.327543424317618,77.3109243697479,11.285447354469389,-,82430.0,75806.0,0.0,0,0,,"인벤티지랩, 전환청구권, cb, quot, 탈모, 펩트론",10,2026-01-17 23:26,1
140,39200,오스코텍,KOSDAQ,43950.0,27.0,0.0,16.0,43.0,42250.0,3.8680318543799777,65.54621848739495,44.93657269441604,-,45707.5,51165.0,0.0,0,0,,"오스코텍, quot, 코스닥, 타우, 글로벌, 등은",10,2026-01-17 23:24,1
139,5690,파미셀,KOSPI,13200.0,27.0,0.0,16.0,43.0,12990.0,1.5909090909090908,54.6218487394958,49.33745648545033,-,14411.5,16086.4,0.0,0,0,,"13, 파미셀, 지난 종가, 지난, 종가, 장중",10,2026-01-17 23:27,1
143,105560,KB금융,KOSPI,130900.0,32.0,0.0,10.0,42.0,122300.0,6.5699006875477455,40.33613445378151,17.962830318859663,-,126110.0,126120.0,0.0,0,0,,"quot, 소상공인, 소상공인 pop, pop, up, up festa",10,2026-01-17 23:17,1
144,120110,코오롱인더,KOSPI,43650.0,30.0,0.0,12.0,42.0,40850.0,6.414662084765177,42.01680672268908,20.534423357168794,-,44607.5,42968.0,0.0,0,0,,"태양광, 설비, 발전, 발전 설비, 태양광 발전, 구미공장에",10,2026-01-17 23:25,1
145,229640,LS에코에너지,KOSPI,37300.0,32.0,0.0,10.0,42.0,34200.0,8.310991957104557,93.27731092436974,16.31348654151522,-,35745.0,36583.0,0.0,0,0,,"ls에코에너지, 희토류, 16일, ls, 1월 16일, 1월",10,2026-01-17 23:25,1
146,220100,퓨쳐켐,KOSDAQ,24700.0,24.0,0.0,18.0,42.0,23550.0,4.65587044534413,68.90756302521008,34.366929454729345,-,28715.0,29039.0,0.0,0,0,,"quot, 방사성의약품을, 국내, 퓨쳐켐, 개발, 중이다",10,2026-01-17 23:30,1
147,51910,LG화학,KOSPI,333500.0,27.0,5.0,10.0,42.0,307500.0,7.796101949025487,19.327731092436974,49.96104025869656,-,333625.0,362980.0,5.0,0,0,,"lg화학, 석유화학, 4분기, 등이, 회장, quot",10,2026-01-17 23:18,1
148,25980,아난티,KOSDAQ,7890.0,28.0,0.0,14.0,42.0,7540.0,4.435994930291509,42.01680672268908,21.572526962023364,-,7783.0,7491.6,0.0,0,0,,"구좌읍, 아난티, 제주, 제주시, 제주시 구좌읍, 이천",10,2026-01-17 23:28,1
149,6280,녹십자,KOSPI,160300.0,30.0,0.0,12.0,42.0,152300.0,4.990642545227699,100.0,22.92169873950664,-,160635.0,147004.0,0.0,0,0,,"4분기, 바이오, 약업신문, 약업신문 김홍식, 김홍식, 녹십자",10,2026-01-17 23:23,1
150,1450,현대해상,KOSPI,26800.0,30.0,0.0,12.0,42.0,26100.0,2.6119402985074625,81.5126050420168,50.19019069278095,-,29350.0,29227.0,0.0,0,0,,"현대해상, 삼성화재, 각각, db손해보험, 맘스홀릭베이비페어, 2026 맘스홀릭베이비페어",10,2026-01-17 23:22,1
151,139130,iM금융지주,KOSPI,14110.0,30.0,0.0,12.0,42.0,13970.0,0.9922041105598866,54.6218487394958,43.49624359979505,-,14930.5,14516.8,0.0,0,0,,"스테이블코인, sc제일은행, 원화, 하나금융, 등과, 지배구조",10,2026-01-17 23:23,1
