rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
76,060280,큐렉소,KOSDAQ,590052256400,기타,14360.0,20.0,10.0,8.0,9,5.0,52.0,12820.0,10.724233983286908,66.38655462184875,18.80981223342717,B,13183.0,12404.0,1,False,2,4815067870.0,1178706630.0,10.0,8.0,8.0,0,0,,,0,2026-01-19 09:21,1
77,127120,제이에스링크,KOSDAQ,679682233200,기타,21300.0,17.0,5.0,12.0,9,9.0,52.0,19596.0,8.0,0.8403361344537815,13.376035234261428,-,18069.0,18482.0,6,False,2,2316974410.0,465361740.0,5.0,12.0,12.0,0,0,,,0,2026-01-19 09:21,1
78,025540,한국단자,KOSPI,760648000000,기타,75200.0,22.0,15.0,0.0,9,5.0,51.0,67300.0,10.50531914893617,100.0,20.2226194710974,R,70200.0,66214.0,0,True,1,288584600.0,172027600.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
79,458870,씨어스테크놀로지,KOSDAQ,1603500408000,기타,126600.0,20.0,5.0,10.0,7,9.0,51.0,116472.0,8.0,0.0,19.512773816515182,-,120720.0,118952.0,3,False,0,143010800.0,3663761000.0,5.0,10.0,10.0,0,0,,,0,2026-01-19 09:21,1
80,004990,롯데지주,KOSPI,2974176868950,기타,28350.0,16.0,10.0,8.0,7,10.0,51.0,26950.0,4.938271604938271,54.621848739495796,38.049468895433506,B,26940.0,28425.0,0,False,0,4560951350.0,841406450.0,10.0,8.0,8.0,0,0,,,0,2026-01-19 09:21,1
81,079900,전진건설로봇,KOSPI,731086504500,기타,50100.0,20.0,5.0,8.0,9,9.0,51.0,46300.0,7.584830339321358,15.126050420168067,23.113046405340658,-,48202.5,47005.0,1,False,2,1372056400.0,749880950.0,5.0,8.0,8.0,0,0,,,0,2026-01-19 09:21,1
82,011210,현대위아,KOSPI,2501947636000,기타,92000.0,25.0,15.0,0.0,2,9.0,51.0,84640.0,8.0,100.0,65.9109599964003,R,80075.0,68472.0,0,True,1,-15096475200.0,-3300543000.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
83,010130,고려아연,KOSPI,33062782896000,기타,1584000.0,22.0,15.0,0.0,4,9.0,50.0,1457280.0,8.0,55.46218487394958,24.506170870105557,R,1322600.0,1280540.0,0,True,0,-69309907000.0,160008380000.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
84,006400,삼성SDI,KOSPI,25303856420000,기타,314000.0,22.0,5.0,8.0,6,9.0,50.0,288880.0,8.0,13.445378151260504,40.93745982369488,-,280050.0,295660.0,0,False,1,-14005783500.0,81965496500.0,5.0,8.0,8.0,0,0,,,0,2026-01-19 09:21,1
85,307950,현대오토에버,KOSPI,13396615207000,기타,488500.0,25.0,15.0,0.0,0,9.0,49.0,449420.0,8.0,100.0,64.0129032177595,R,375625.0,285400.0,2,True,0,-5521560000.0,-27319016000.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
86,089970,브이엠,KOSDAQ,699395061750,기타,28650.0,17.0,10.0,8.0,5,9.0,49.0,26358.0,8.0,30.252100840336134,20.701130039680343,B,28797.5,27055.0,0,False,2,4817987150.0,-11974584500.0,10.0,8.0,8.0,0,0,,,0,2026-01-19 09:21,1
87,000660,SK하이닉스,KOSPI,556193806860000,기타,764000.0,25.0,15.0,0.0,4,5.0,49.0,671000.0,12.172774869109947,42.016806722689076,76.53435716948954,R,679000.0,609380.0,0,True,0,-1022634258000.0,697095453000.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
88,199800,툴젠,KOSDAQ,531819300500,기타,59300.0,22.0,0.0,12.0,5,10.0,49.0,56600.0,4.5531197301854975,32.773109243697476,57.762047194117294,-,57685.0,59029.0,5,False,1,654154800.0,-84582700.0,0.0,12.0,12.0,0,0,,,0,2026-01-19 09:21,1
89,003380,하림지주,KOSDAQ GLOBAL,1244382449310,기타,11110.0,24.0,0.0,12.0,5,7.0,48.0,10100.0,9.090909090909092,88.23529411764706,32.14323569308051,-,10668.0,9581.8,6,False,3,-1234989240.0,-121004340.0,0.0,12.0,12.0,0,0,,,0,2026-01-19 09:21,1
90,064400,LG씨엔에스,KOSPI,6946722471600,기타,71700.0,22.0,0.0,13.0,4,9.0,48.0,65964.0,8.0,43.69747899159664,35.302567644518085,-,63385.0,61376.0,3,False,0,-26631042700.0,7879337800.0,0.0,13.0,13.0,0,0,,,0,2026-01-19 09:21,1
91,030530,원익홀딩스,KOSDAQ,3421642558300,기타,44300.0,25.0,0.0,12.0,4,5.0,46.0,38400.0,13.31828442437923,36.134453781512605,43.89814255712427,-,40905.0,33128.0,9,False,0,-24320085250.0,2984539050.0,0.0,12.0,12.0,0,0,,,0,2026-01-19 09:21,1
92,043260,성호전자,KOSDAQ,934762807140,기타,13180.0,25.0,0.0,10.0,0,9.0,44.0,12125.6,8.0,92.43697478991596,75.66338720030478,-,10854.0,6245.8,4,False,0,-2634067860.0,-6538425530.0,0.0,10.0,10.0,0,0,,,0,2026-01-19 09:21,1
93,476060,온코닉테라퓨틱스,KOSDAQ,865327893700,기타,19450.0,18.0,0.0,12.0,4,10.0,44.0,18600.0,4.370179948586118,39.49579831932773,28.860766565693957,-,20115.0,18089.8,8,False,0,-10662023440.0,256630230.0,0.0,12.0,12.0,0,0,,,0,2026-01-19 09:21,1
94,124500,아이티센글로벌,KOSDAQ,719340337000,기타,31000.0,19.0,0.0,12.0,0,10.0,41.0,30500.0,1.6129032258064515,68.0672268907563,38.76221800230782,-,31572.5,25624.8,7,False,0,-5098864300.0,-297673450.0,0.0,12.0,12.0,0,0,,,0,2026-01-19 09:21,1
95,140410,메지온,KOSDAQ,2763116174000,기타,91000.0,20.0,0.0,12.0,0,9.0,41.0,85300.0,6.263736263736264,57.983193277310924,45.79933477283312,-,91215.0,81116.0,9,False,0,-7567851400.0,-1842763200.0,0.0,12.0,12.0,0,0,,,0,2026-01-19 09:21,1
96,226950,올릭스,KOSDAQ,2822545643400,기타,139800.0,17.0,5.0,10.0,0,9.0,41.0,129700.0,7.224606580829756,3.361344537815126,20.182496392722786,-,140270.0,134534.0,3,False,0,-35894694100.0,-17618105000.0,5.0,10.0,10.0,0,0,,,0,2026-01-19 09:21,1
97,417200,LS머트리얼즈,KOSDAQ,914663949680,기타,13520.0,20.0,0.0,13.0,0,7.0,40.0,12310.0,8.949704142011834,56.30252100840336,12.495316963447921,-,12887.0,12613.2,3,False,0,-1475213410.0,-695997130.0,0.0,13.0,13.0,0,0,,,0,2026-01-19 09:21,1
98,060370,LS마린솔루션,KOSDAQ,1501867052500,기타,28750.0,13.0,5.0,12.0,0,10.0,40.0,28300.0,1.565217391304348,12.605042016806722,27.88624429121756,-,29747.5,28899.0,7,False,0,-2879945100.0,-1027542250.0,5.0,12.0,12.0,0,0,,,0,2026-01-19 09:21,1
99,028300,HLB,KOSDAQ,6847281145200,기타,51600.0,25.0,5.0,0.0,0,10.0,40.0,49600.0,3.875968992248062,11.764705882352942,47.68809343777772,-,50577.5,49035.0,0,False,0,-2823344300.0,-7528733800.0,5.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
100,137400,피엔티,KOSDAQ GLOBAL,947349131400,기타,39900.0,17.0,10.0,8.0,0,5.0,40.0,35000.0,12.280701754385964,24.369747899159663,40.52971270722578,C,37910.0,40015.0,0,False,0,-975769850.0,-802664400.0,10.0,8.0,8.0,0,0,,,0,2026-01-19 09:21,1
