rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,memory_price,vol_ratio,tags,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,keywords,news_count,scan_date,chunk
39,054450,텔레칩스,KOSDAQ,243064939650,기타,16050.0,25.0,10.0,17.0,0,7.0,59.0,14500.0,9.657320872274143,100.0,53.31630570649509,-,14910.0,13434.0,16306.590422406334,13900.0,1.6,🚪Door 🔥Past 💧Dry+ 🚀Pivot,6,False,0,-2222278980.0,-766452070.0,10.0,17.0,,0,2026-01-19 08:18,2
40,211270,AP위성,KOSDAQ,227591967360,기타,15090.0,23.0,20.0,5.0,4,7.0,59.0,13650.0,9.542743538767395,100.0,65.77057308686082,R,13693.0,12275.4,14985.04787344433,15430.0,0.52,🚪Door 🧠Memory 🔥Past,2,True,0,-197548160.0,1394724970.0,20.0,5.0,,0,2026-01-19 08:19,2
41,290740,액트로,KOSDAQ,211868481550,기타,21050.0,25.0,10.0,10.0,4,9.0,58.0,19366.0,8.0,100.0,51.604717882219504,B,17522.5,10988.6,21557.726850558465,11650.0,1.54,🚪Door 🔥Past 🚀Pivot,0,False,0,-1636519150.0,3000486360.0,10.0,10.0,,0,2026-01-19 08:19,2
42,200710,에이디테크놀로지,KOSDAQ,457659989100,기타,34050.0,24.0,20.0,5.0,4,5.0,58.0,30250.0,11.16005873715125,100.0,35.04117976199466,-,31407.5,28042.0,35251.634685207086,35300.0,0.68,🚪Door 🧠Memory 🔥Past,2,False,0,-15124879100.0,253705450.0,20.0,5.0,,0,2026-01-19 08:19,2
43,003920,남양유업,KOSPI,306600000000,기타,51100.0,10.0,20.0,10.0,8,10.0,58.0,49050.0,4.011741682974559,0.0,18.88803172787117,-,50485.0,50697.0,53900.32978414219,51000.0,1.6,🧘Squeeze 🧠Memory 🔥Past 🚀Pivot,0,False,4,1239550.0,-171433600.0,20.0,10.0,,0,2026-01-19 08:19,2
44,037710,광주신세계,KOSPI,247468609000,기타,31100.0,15.0,20.0,5.0,8,10.0,58.0,30400.0,2.2508038585209005,71.1864406779661,57.74761506026292,-,31405.0,31221.0,32360.62511488377,31800.0,0.74,🚪Door 🧠Memory 💧Dry,3,False,3,298704200.0,-119570250.0,20.0,5.0,,0,2026-01-19 08:19,2
45,270660,에브리봇,KOSDAQ,315086741400,기타,24900.0,25.0,0.0,15.0,8,9.0,57.0,22908.0,8.0,40.67796610169491,42.34635471613519,R,21526.0,20150.2,23402.666177394793,23150.0,1.66,🔥Past 💧Dry 🚀Pivot,3,True,3,5446559900.0,-4459381850.0,0.0,15.0,,0,2026-01-19 08:19,2
46,322310,오로스테크놀로지,KOSDAQ,236036858400,기타,25200.0,25.0,20.0,5.0,0,7.0,57.0,23000.0,8.73015873015873,0.0,41.701150291148,-,24677.5,24040.0,27758.936472246,25750.0,0.97,🧘Squeeze 🧠Memory 🔥Past,0,False,0,-275658850.0,-1200425150.0,20.0,5.0,,0,2026-01-19 08:18,2
47,126720,수산인더스트리,KOSPI,376436100000,기타,26350.0,21.0,10.0,8.0,9,9.0,57.0,24242.0,8.0,100.0,26.677359405644633,R,22037.5,21490.0,23568.680922792773,26350.0,4.24,🧠Memory 🔥Past ⚠️Hot,0,True,1,1326202500.0,1475569000.0,10.0,8.0,,0,2026-01-19 08:19,2
48,079960,동양이엔피,KOSDAQ,230298000000,기타,29300.0,23.0,10.0,10.0,7,7.0,57.0,26900.0,8.19112627986348,100.0,25.241089579755048,R,26020.0,24750.0,28048.210750250953,25100.0,1.55,🚪Door 🔥Past 🚀Pivot,0,True,0,305371250.0,107127100.0,10.0,10.0,,0,2026-01-19 08:19,2
